UID,breeder,characteristics,crop,keys,name,origin,pedigree,id,genotype_registration_year,types.soybean_maturity_type
NA,Agroscope,NA,soybean,NA,22783,NA,NA,10181,NA,NA
NA,Agroscope,NA,soybean,NA,22815,NA,NA,10182,NA,NA
NA,Agroscope,NA,soybean,NA,22904,NA,NA,10183,NA,NA
NA,Agroscope,NA,soybean,NA,22909,NA,NA,10184,NA,NA
NA,Agroscope,NA,soybean,NA,22910,NA,NA,10185,NA,NA
NA,Agroscope,NA,soybean,NA,22914,NA,NA,10186,NA,NA
NA,Agroscope,NA,soybean,NA,90143,NA,NA,10187,NA,NA
NA,Agroscope,NA,soybean,NA,90146,NA,NA,10188,NA,NA
NA,Agroscope,NA,soybean,NA,90166,NA,NA,10189,NA,NA
CHE008:CP10001:Glycine,Agroscope/DSP,NA,soybean,NA,Gallec,NA,NA,10001,NA,NA
CHE008:CP10002:Glycine,Saatbau Linz,NA,soybean,NA,Lissabon,NA,NA,10002,NA,NA
CHE008:CP10003:Glycine,Agroscope/DSP,NA,soybean,NA,Protéix,NA,NA,10003,NA,NA
CHE008:CP10004:Glycine,Saatbau Linz,NA,soybean,NA,Merlin,NA,NA,10004,NA,NA
CHE008:CP10005:Glycine,Agroscope/DSP,NA,soybean,NA,Obelix,NA,NA,10005,NA,NA
CHE008:CP10006:Glycine,Agroscope/DSP,NA,soybean,NA,Aveline,NA,NA,10006,NA,NA
CHE008:CP10007:Glycine,Agroscope/DSP,NA,soybean,NA,Tourmaline,NA,NA,10007,NA,NA
CHE008:CP10008:Glycine,Rustica,NA,soybean,NA,Amphor,NA,NA,10008,NA,NA
CHE008:CP10010:Glycine,Agroscope/DSP,NA,soybean,NA,Tiguan,NA,NA,10010,NA,NA
CHE008:CP10011:Glycine,Agroscope/DSP,NA,soybean,NA,Falbala,NA,NA,10011,NA,NA
CHE008:CP10012:Glycine,Agroscope/DSP,NA,soybean,NA,Paradis,NA,NA,10012,NA,NA
CHE008:CP10013:Glycine,Agroscope/DSP,NA,soybean,NA,Protibus,NA,NA,10013,NA,NA
CHE008:CP10014:Glycine,Agroscope/DSP,NA,soybean,NA,Amarok,NA,NA,10014,NA,NA
CHE008:CP10015:Glycine,Agroscope/DSP,NA,soybean,NA,Coraline,NA,NA,10015,NA,NA
CHE008:CP10016:Glycine,Agroscope/DSP,NA,soybean,NA,Galice,NA,NA,10016,NA,NA
CHE008:CP10017:Glycine,Agroscope/DSP,NA,soybean,NA,Toutatis,NA,NA,10017,NA,NA
CHE008:CP10018:Glycine,Agroscope/DSP,NA,soybean,NA,Tequila,NA,NA,10018,NA,NA
CHE008:CP10019:Glycine,Agroscope/DSP,NA,soybean,NA,Bagera,NA,NA,10019,NA,NA
CHE008:CP10020:Glycine,Agroscope/DSP,NA,soybean,NA,Idefix,NA,NA,10020,NA,NA
CHE008:CP10021:Glycine,Agroscope/DSP,NA,soybean,NA,Pollux,NA,NA,10021,NA,NA
CHE008:CP10022:Glycine,Agroscope/DSP,NA,soybean,NA,Orion,NA,NA,10022,NA,NA
CHE008:CP10023:Glycine,Agroscope/DSP,NA,soybean,NA,Castétis,NA,NA,10023,NA,NA
CHE008:CP10024:Glycine,Agroscope/DSP,NA,soybean,NA,Paco,NA,NA,10024,NA,NA
CHE008:CP10025:Glycine,a,NA,soybean,NA,MapleArrow,NA,NA,10025,NA,NA
CHE008:CP10026:Glycine,Agroscope/DSP,NA,soybean,NA,22066_P1ln,NA,NA,10026,NA,NA
CHE008:CP10027:Glycine,Agroscope/DSP,NA,soybean,NA,22067_P1ov,NA,NA,10027,NA,NA
CHE008:CP10028:Glycine,Agroscope/DSP,NA,soybean,NA,22068_P2ln,NA,NA,10028,NA,NA
CHE008:CP10029:Glycine,Agroscope/DSP,NA,soybean,NA,22069_P2ov,NA,NA,10029,NA,NA
CHE008:CP10030:Glycine,Agroscope/DSP,NA,soybean,NA,22070_P3ln,NA,NA,10030,NA,NA
CHE008:CP10031:Glycine,Agroscope/DSP,NA,soybean,NA,22071_P3ov,NA,NA,10031,NA,NA
CHE008:CP10032:Glycine,Agroscope/DSP,NA,soybean,NA,22072_P4ln,NA,NA,10032,NA,NA
CHE008:CP10033:Glycine,Agroscope/DSP,NA,soybean,NA,22073_P4ov,NA,NA,10033,NA,NA
CHE008:CP10034:Glycine,Agroscope/DSP,NA,soybean,NA,22074_P5ln,NA,NA,10034,NA,NA
CHE008:CP10035:Glycine,Agroscope/DSP,NA,soybean,NA,22075_P5ov,NA,NA,10035,NA,NA
CHE008:CP10036:Glycine,Agroscope/DSP,NA,soybean,NA,22076_67ln,NA,NA,10036,NA,NA
CHE008:CP10037:Glycine,Agroscope/DSP,NA,soybean,NA,22077_P6ov,NA,NA,10037,NA,NA
CHE008:CP10038:Glycine,Agroscope/DSP,NA,soybean,NA,22078_P7ln,NA,NA,10038,NA,NA
CHE008:CP10039:Glycine,Agroscope/DSP,NA,soybean,NA,22079_P7ov,NA,NA,10039,NA,NA
CHE008:CP10040:Glycine,Agroscope/DSP,NA,soybean,NA,22080_P8ln,NA,NA,10040,NA,NA
CHE008:CP10041:Glycine,Agroscope/DSP,NA,soybean,NA,22081_P8ov,NA,NA,10041,NA,NA
CHE008:CP10042:Glycine,Agroscope/DSP,NA,soybean,NA,22082_P9ln,NA,NA,10042,NA,NA
CHE008:CP10043:Glycine,Agroscope/DSP,NA,soybean,NA,22083_P9ov,NA,NA,10043,NA,NA
CHE008:CP10044:Glycine,Agroscope/DSP,NA,soybean,NA,22460,NA,NA,10044,NA,NA
CHE008:CP10045:Glycine,Agroscope/DSP,NA,soybean,NA,Navaro,NA,NA,10045,NA,NA
CHE008:CP10046:Glycine,Agroscope/DSP,NA,soybean,NA,Paprika,NA,NA,10046,NA,NA
CHE008:CP10047:Glycine,Agroscope/DSP,NA,soybean,NA,22511,NA,NA,10047,NA,NA
CHE008:CP10048:Glycine,Agroscope/DSP,NA,soybean,NA,90008,NA,NA,10048,NA,NA
CHE008:CP10049:Glycine,Agroscope/DSP,NA,soybean,NA,Amandine,NA,NA,10049,NA,NA
CHE008:CP10050:Glycine,SZD,NA,soybean,NA,Aurelina,NA,NA,10050,NA,NA
CHE008:CP10051:Glycine,Agroscope/DSP,NA,soybean,NA,Everest,NA,NA,10051,NA,NA
CHE008:CP10052:Glycine,Agroscope/DSP,NA,soybean,NA,Kalinka,NA,NA,10052,NA,NA
CHE008:CP10053:Glycine,Agroscope/DSP,NA,soybean,NA,Marquise,NA,NA,10053,NA,NA
CHE008:CP10054:Glycine,NA,NA,soybean,NA,Mentor,NA,NA,10054,NA,NA
CHE008:CP10055:Glycine,Agroscope/DSP,NA,soybean,NA,Naskia,NA,NA,10055,NA,NA
CHE008:CP10056:Glycine,Eurasia,NA,soybean,NA,Primus,NA,NA,10056,NA,NA
CHE008:CP10057:Glycine,Agroscope/DSP,NA,soybean,NA,Xena,NA,NA,10057,NA,NA
CHE008:CP10058:Glycine,Agroscope/DSP,NA,soybean,NA,Yakari,NA,NA,10058,NA,NA
CHE008:CP10059:Glycine,Agroscope/DSP,NA,soybean,NA,22587,NA,NA,10059,NA,NA
CHE008:CP10060:Glycine,Agroscope/DSP,NA,soybean,NA,90096,NA,NA,10060,NA,NA
CHE008:CP10061:Glycine,Agroscope/DSP,NA,soybean,NA,90017,NA,NA,10061,NA,NA
CHE008:CP10062:Glycine,Agroscope/DSP,NA,soybean,NA,90080,NA,NA,10062,NA,NA
CHE008:CP10063:Glycine,Agroscope/DSP,NA,soybean,NA,90087,NA,NA,10063,NA,NA
CHE008:CP10064:Glycine,Agroscope/DSP,NA,soybean,NA,90021,NA,NA,10064,NA,NA
CHE008:CP10065:Glycine,Agroscope/DSP,NA,soybean,NA,90093,NA,NA,10065,NA,NA
CHE008:CP10066:Glycine,Agroscope/DSP,NA,soybean,NA,90069,NA,NA,10066,NA,NA
CHE008:CP10068:Glycine,Agroscope/DSP,NA,soybean,NA,90114,NA,NA,10068,NA,NA
CHE008:CP10069:Glycine,Agroscope/DSP,NA,soybean,NA,90032,NA,NA,10069,NA,NA
CHE008:CP10070:Glycine,Agroscope/DSP,NA,soybean,NA,90082,NA,NA,10070,NA,NA
CHE008:CP10071:Glycine,Agroscope/DSP,NA,soybean,NA,CH90124,NA,NA,10071,NA,NA
CHE008:CP10072:Glycine,Agroscope/DSP,NA,soybean,NA,CH90025,NA,NA,10072,NA,NA
CHE008:CP10073:Glycine,Agroscope/DSP,NA,soybean,NA,CH90132,NA,NA,10073,NA,NA
CHE008:CP10074:Glycine,Agroscope/DSP,NA,soybean,NA,CH90137,NA,NA,10074,NA,NA
CHE008:CP10075:Glycine,Agroscope/DSP,NA,soybean,NA,CH90125,NA,NA,10075,NA,NA
CHE008:CP10076:Glycine,Agroscope/DSP,NA,soybean,NA,CH90130,NA,NA,10076,NA,NA
CHE008:CP10077:Glycine,Agroscope/DSP,NA,soybean,NA,CH90136,NA,NA,10077,NA,NA
CHE008:CP10078:Glycine,Agroscope/DSP,NA,soybean,NA,CH90127,NA,NA,10078,NA,NA
CHE008:CP10079:Glycine,Agroscope/DSP,NA,soybean,NA,CH90134,NA,NA,10079,NA,NA
CHE008:CP10080:Glycine,Agroscope/DSP,NA,soybean,NA,CH90135,NA,NA,10080,NA,NA
CHE008:CP10081:Glycine,Agroscope/DSP,NA,soybean,NA,CH90128,NA,NA,10081,NA,NA
CHE008:CP10082:Glycine,Agroscope/DSP,NA,soybean,NA,CH90140,NA,NA,10082,NA,NA
CHE008:CP10083:Glycine,Agroscope/DSP,NA,soybean,NA,CH90138,NA,NA,10083,NA,NA
CHE008:CP10084:Glycine,Agroscope/DSP,NA,soybean,NA,CH90122,NA,NA,10084,NA,NA
CHE008:CP10085:Glycine,Agroscope/DSP,NA,soybean,NA,CH90139,NA,NA,10085,NA,NA
CHE008:CP10086:Glycine,Agroscope/DSP,NA,soybean,NA,CH90131,NA,NA,10086,NA,NA
CHE008:CP10087:Glycine,Agroscope/DSP,NA,soybean,NA,CH90123,NA,NA,10087,NA,NA
CHE008:CP10088:Glycine,Agroscope/DSP,NA,soybean,NA,CH90129,NA,NA,10088,NA,NA
CHE008:CP10089:Glycine,Agroscope/DSP,NA,soybean,NA,CH90133,NA,NA,10089,NA,NA
CHE008:CP10090:Glycine,Agroscope/DSP,NA,soybean,NA,CH22768,NA,NA,10090,NA,NA
CHE008:CP10091:Glycine,Agroscope/DSP,NA,soybean,NA,CH22766,NA,NA,10091,NA,NA
CHE008:CP10092:Glycine,Agroscope/DSP,NA,soybean,NA,CH22763,NA,NA,10092,NA,NA
CHE008:CP10093:Glycine,Agroscope/DSP,NA,soybean,NA,CH22774,NA,NA,10093,NA,NA
CHE008:CP10094:Glycine,Agroscope/DSP,NA,soybean,NA,CH22762,NA,NA,10094,NA,NA
CHE008:CP10095:Glycine,Agroscope/DSP,NA,soybean,NA,CH22779,NA,NA,10095,NA,NA
CHE008:CP10096:Glycine,Agroscope/DSP,NA,soybean,NA,CH22767,NA,NA,10096,NA,NA
CHE008:CP10097:Glycine,Agroscope/DSP,NA,soybean,NA,CH22772,NA,NA,10097,NA,NA
CHE008:CP10098:Glycine,Agroscope/DSP,NA,soybean,NA,CH22778,NA,NA,10098,NA,NA
CHE008:CP10099:Glycine,Agroscope/DSP,NA,soybean,NA,CH22769,NA,NA,10099,NA,NA
CHE008:CP10100:Glycine,Agroscope/DSP,NA,soybean,NA,CH22776,NA,NA,10100,NA,NA
CHE008:CP10101:Glycine,Agroscope/DSP,NA,soybean,NA,CH22777,NA,NA,10101,NA,NA
CHE008:CP10102:Glycine,Agroscope/DSP,NA,soybean,NA,CH22770,NA,NA,10102,NA,NA
CHE008:CP10103:Glycine,Agroscope/DSP,NA,soybean,NA,CH22780,NA,NA,10103,NA,NA
CHE008:CP10104:Glycine,Agroscope/DSP,NA,soybean,NA,CH22764,NA,NA,10104,NA,NA
CHE008:CP10105:Glycine,Agroscope/DSP,NA,soybean,NA,CH22761,NA,NA,10105,NA,NA
CHE008:CP10106:Glycine,Agroscope/DSP,NA,soybean,NA,CH22773,NA,NA,10106,NA,NA
CHE008:CP10107:Glycine,Agroscope/DSP,NA,soybean,NA,CH22765,NA,NA,10107,NA,NA
CHE008:CP10108:Glycine,Agroscope/DSP,NA,soybean,NA,CH22771,NA,NA,10108,NA,NA
CHE008:CP10109:Glycine,Agroscope/DSP,NA,soybean,NA,CH22775,NA,NA,10109,NA,NA
CHE008:CP10110:Glycine,Agroscope/DSP,NA,soybean,NA,CH90087,NA,NA,10110,NA,NA
CHE008:CP10111:Glycine,Agroscope/DSP,NA,soybean,NA,CH90080,NA,NA,10111,NA,NA
CHE008:CP10112:Glycine,Agroscope/DSP,NA,soybean,NA,CH90032,NA,NA,10112,NA,NA
CHE008:CP10113:Glycine,Agroscope/DSP,NA,soybean,NA,CH22587,NA,NA,10113,NA,NA
CHE008:CP10114:Glycine,Agroscope/DSP,NA,soybean,NA,CH90113,NA,NA,10114,NA,NA
CHE008:CP10115:Glycine,Agroscope/DSP,NA,soybean,NA,CH90114,NA,NA,10115,NA,NA
CHE008:CP10116:Glycine,Agroscope/DSP,NA,soybean,NA,CH90093,NA,NA,10116,NA,NA
CHE008:CP10117:Glycine,Agroscope/DSP,NA,soybean,NA,CH90021,NA,NA,10117,NA,NA
CHE008:CP10118:Glycine,Agroscope/DSP,NA,soybean,NA,CH90069,NA,NA,10118,NA,NA
CHE008:CP10119:Glycine,Agroscope/DSP,NA,soybean,NA,CH90096,NA,NA,10119,NA,NA
CHE008:CP10120:Glycine,Agroscope/DSP,NA,soybean,NA,CH90017,NA,NA,10120,NA,NA
CHE008:CP10121:Glycine,Agroscope/DSP,NA,soybean,NA,CH90082,NA,NA,10121,NA,NA
CHE008:CP10122:Glycine,Agroscope/DSP,NA,soybean,NA,CH22725,NA,NA,10122,NA,NA
CHE008:CP10123:Glycine,Agroscope/DSP,NA,soybean,NA,CH22723,NA,NA,10123,NA,NA
CHE008:CP10124:Glycine,Agroscope/DSP,NA,soybean,NA,CH22689,NA,NA,10124,NA,NA
CHE008:CP10125:Glycine,Agroscope/DSP,NA,soybean,NA,CH22676,NA,NA,10125,NA,NA
CHE008:CP10126:Glycine,Agroscope/DSP,NA,soybean,NA,CH22713,NA,NA,10126,NA,NA
CHE008:CP10127:Glycine,Agroscope/DSP,NA,soybean,NA,CH22698,NA,NA,10127,NA,NA
CHE008:CP10128:Glycine,Agroscope/DSP,NA,soybean,NA,CH22681,NA,NA,10128,NA,NA
CHE008:CP10129:Glycine,Agroscope/DSP,NA,soybean,NA,CH22716,NA,NA,10129,NA,NA
CHE008:CP10130:Glycine,Agroscope/DSP,NA,soybean,NA,CH22687,NA,NA,10130,NA,NA
CHE008:CP10131:Glycine,Agroscope/DSP,NA,soybean,NA,CH22693,NA,NA,10131,NA,NA
CHE008:CP10132:Glycine,Agroscope/DSP,NA,soybean,NA,CH22701,NA,NA,10132,NA,NA
CHE008:CP10133:Glycine,Agroscope/DSP,NA,soybean,NA,CH22675,NA,NA,10133,NA,NA
CHE008:CP10134:Glycine,Agroscope/DSP,NA,soybean,NA,CH22707,NA,NA,10134,NA,NA
CHE008:CP10135:Glycine,Agroscope/DSP,NA,soybean,NA,CH22706,NA,NA,10135,NA,NA
CHE008:CP10136:Glycine,Agroscope/DSP,NA,soybean,NA,CH22727,NA,NA,10136,NA,NA
CHE008:CP10137:Glycine,Agroscope/DSP,NA,soybean,NA,CH22715,NA,NA,10137,NA,NA
CHE008:CP10138:Glycine,Agroscope/DSP,NA,soybean,NA,CH22718,NA,NA,10138,NA,NA
CHE008:CP10139:Glycine,Agroscope/DSP,NA,soybean,NA,CH22711,NA,NA,10139,NA,NA
CHE008:CP10140:Glycine,Agroscope/DSP,NA,soybean,NA,CH22691,NA,NA,10140,NA,NA
CHE008:CP10141:Glycine,Agroscope/DSP,NA,soybean,NA,CH22679,NA,NA,10141,NA,NA
CHE008:CP10142:Glycine,Agroscope/DSP,NA,soybean,NA,CH22744,NA,NA,10142,NA,NA
CHE008:CP10143:Glycine,Agroscope/DSP,NA,soybean,NA,CH22738,NA,NA,10143,NA,NA
CHE008:CP10144:Glycine,Agroscope/DSP,NA,soybean,NA,CH22645,NA,NA,10144,NA,NA
CHE008:CP10145:Glycine,Agroscope/DSP,NA,soybean,NA,CH22654,NA,NA,10145,NA,NA
CHE008:CP10146:Glycine,Agroscope/DSP,NA,soybean,NA,CH22743,NA,NA,10146,NA,NA
CHE008:CP10147:Glycine,Agroscope/DSP,NA,soybean,NA,CH22751,NA,NA,10147,NA,NA
CHE008:CP10148:Glycine,Agroscope/DSP,NA,soybean,NA,CH22729,NA,NA,10148,NA,NA
CHE008:CP10149:Glycine,Agroscope/DSP,NA,soybean,NA,CH22650,NA,NA,10149,NA,NA
CHE008:CP10150:Glycine,Agroscope/DSP,NA,soybean,NA,CH22662,NA,NA,10150,NA,NA
CHE008:CP10151:Glycine,Agroscope/DSP,NA,soybean,NA,CH22652,NA,NA,10151,NA,NA
CHE008:CP10152:Glycine,Agroscope/DSP,NA,soybean,NA,CH22655,NA,NA,10152,NA,NA
CHE008:CP10153:Glycine,Agroscope/DSP,NA,soybean,NA,CH22649,NA,NA,10153,NA,NA
CHE008:CP10154:Glycine,Agroscope/DSP,NA,soybean,NA,CH22756,NA,NA,10154,NA,NA
CHE008:CP10155:Glycine,Agroscope/DSP,NA,soybean,NA,CH22653,NA,NA,10155,NA,NA
CHE008:CP10156:Glycine,Agroscope/DSP,NA,soybean,NA,CH22746,NA,NA,10156,NA,NA
CHE008:CP10157:Glycine,Agroscope/DSP,NA,soybean,NA,CH22747,NA,NA,10157,NA,NA
CHE008:CP10158:Glycine,Agroscope/DSP,NA,soybean,NA,CH22730,NA,NA,10158,NA,NA
CHE008:CP10159:Glycine,Agroscope/DSP,NA,soybean,NA,CH22749,NA,NA,10159,NA,NA
CHE008:CP10160:Glycine,Agroscope/DSP,NA,soybean,NA,CH22535,NA,NA,10160,NA,NA
CHE008:CP10161:Glycine,Agroscope/DSP,NA,soybean,NA,CH22616,NA,NA,10161,NA,NA
CHE008:CP10162:Glycine,Agroscope/DSP,NA,soybean,NA,CH22612,NA,NA,10162,NA,NA
CHE008:CP10163:Glycine,Agroscope/DSP,NA,soybean,NA,CH90077,NA,NA,10163,NA,NA
CHE008:CP10164:Glycine,Agroscope/DSP,NA,soybean,NA,CH22613,NA,NA,10164,NA,NA
CHE008:CP10165:Glycine,Agroscope/DSP,NA,soybean,NA,CH90072,NA,NA,10165,NA,NA
CHE008:CP10166:Glycine,Agroscope/DSP,NA,soybean,NA,CH90084,NA,NA,10166,NA,NA
CHE008:CP10167:Glycine,Agroscope/DSP,NA,soybean,NA,CH22507,NA,NA,10167,NA,NA
CHE008:CP10168:Glycine,Agroscope/DSP,NA,soybean,NA,CH90079,NA,NA,10168,NA,NA
CHE008:CP10169:Glycine,Agroscope/DSP,NA,soybean,NA,CH90075,NA,NA,10169,NA,NA
CHE008:CP10170:Glycine,Agroscope/DSP,NA,soybean,NA,CH22624,NA,NA,10170,NA,NA
CHE008:CP10171:Glycine,Agroscope/DSP,NA,soybean,NA,CH22636,NA,NA,10171,NA,NA
CHE008:CP10172:Glycine,Agroscope/DSP,NA,soybean,NA,CH22517,NA,NA,10172,NA,NA
CHE008:CP10173:Glycine,Agroscope/DSP,NA,soybean,NA,CH90070,NA,NA,10173,NA,NA
CHE008:CP10174:Glycine,Agroscope/DSP,NA,soybean,NA,CH22460,NA,NA,10174,NA,NA
CHE008:CP10175:Glycine,Agroscope/DSP,NA,soybean,NA,CH22511,NA,NA,10175,NA,NA
CHE008:CP10176:Glycine,Agroscope/DSP,NA,soybean,NA,CH90008,NA,NA,10176,NA,NA
CHE008:CP10177:Glycine,Agroscope/DSP,NA,soybean,NA,CH22508,NA,NA,10177,NA,NA
CHE008:CP10178:Glycine,Agroscope/DSP,NA,soybean,NA,CH90126,NA,NA,10178,NA,NA
CHE008:CP10009:Glycine,Agroscope/DSP,NA,soybean,NA,Opaline,NA,NA,10009,NA,NA
CHE008:CP10067:Glycine,Agroscope/DSP,NA,soybean,NA,90113,NA,NA,10067,NA,NA
NA,Agroscope/DSP,NA,soybean,NA,Sirelia,NA,NA,10179,NA,NA
NA,Agroscope/DSP,NA,soybean,NA,Achillea,NA,NA,10180,NA,NA
NA,Agroscope/DSP,NA,soybean,NA,Pop. SP Jaggi,NA,NA,10190,NA,NA
NA,Agroscope/DSP,NA,soybean,NA,Pop. SP RAC,NA,NA,10191,NA,NA
NA,NA,Gallec_Opaline,soybean,NA,Gallec_Opaline,NA,NA,10192,NA,NA
NA,NA,Tourmaline_Opaline,soybean,NA,Tourmaline_Opaline,NA,NA,10193,NA,NA
NA,NA,Gallec_Tourmaline,soybean,NA,Gallec_Tourmaline,NA,NA,10194,NA,NA
